key,url,value,who,due date,state,memo
어포메이션,https://campaign-chi-dun.vercel.app/,"0. 백엔드 개발
1. 프론트엔드 개발
2. e2e test
3. 데이터 임시 삽입 + 깃허브 푸시 vercel 베포
1. 캠페인관리 키값 확인 및 추가
2. 행위관리 키값 확인 및 추가
3. Task 적용설정 확인 및 추가
4. 캠페인 세팅값 점검
5. 기능 오류 공유
6. 최종 전개 시작 (결국 디테일한 업무 내용은 못보고 체크리스트의 역할이기에 일단 인지차원에서 진행한다는 개념)

4. 실제 데이터 전부 마이그레이션
5. 모든 기능 설명 및 전 직원 공유
6. 캠페인 세팅 database 마이그레이션
7. 캠페인 세팅 database 스키마 정립",지현근,2026-02-19,진행중,"[두가지 관점]
1. 행위별-담당자별 관리 프로세스 정립 후 교육 (회계추가)
2. 캠페인별-행위별 관리 프로세스 정립 후 교육

실제 데이터 전부 마이그레이션
모든 기능 설명 및 전 직원 공유
캠페인 세팅 database 마이그레이션
캠페인 세팅 database 스키마 정립"
영업관리시스템,https://salesmanager-gamma.vercel.app/,"0. 백엔드 개발
1. 프론트엔드 개발
- 이메일 csv템플릿에 맞추어 이메일을 최대한 넣어둔다.
- 스카웃매니저 발송 이메일 템플릿 추가
- 테스트 발송 1건 진행 (테스트 이메일 잠재고객으로 등록해서)
- 기능 오류 공유
- Human in the loop에 전역업무로 메일 추출 및 발송 확인 추가
2. e2e test
3. 데이터 임시 삽입 + 깃허브 푸시 vercel 베포
4. 실제 데이터 전부 마이그레이션
5. 모든 기능 설명 및 전 영업 직원 공유
6. 이메일 수집 db 확보 및 데이터 마이그레이션-성준
7. 이메일 템플릿 스카웃매니저로 후속까지 텍스트로 나한테주면 반영
8. 이메일 테스트 발송",지현근,2026-02-19,진행중,
스카웃매니저,https://scoutmanager.io/,"0. 스카웃매니저 최종 개발 및 상용화
1. 캠페인별 인플루언서 지식베이스
2. 이메일 스크래핑 한번더하는 구조 개발 체크
3. 캠페인별 추출&발송관련 개발 마무리
4. 인플루언서 인입 후 플로우 문서 마무리",지현근,2026-02-19,진행중,
cs admin,https://cs-admin.afformation.co.kr/login,"0. 전 캠페인 고객전용 라인,인스타, 페메 연동 확인 -> 휴먼인더루프시스템에서 관리가 되면 될거같아요 캠페인세팅쪽에서. 이제 구글시트 파편화되면 안됩니다.
1. 상우 실무 진행하면서 발생 중인 오류 수정 ->
2. 왓츠앱 연동 후 통합 -> 캠페인세팅에서 관리
3. CRM 연동 측면 -> 양방향 연동을 이야기하는 것임. 그전까지는 무조건 메신저에서 예약을 넣어야한다. 
4. Llm마스터프롬프트 개선 측면 -> 공감하고, rar구조 
5. 지식베이스 캠페인별 입력 전부 완료 -> 마스터데이터를 병원별로 입력을 정보만 쭉해주면 지식베이스에 다시 넣는거는 llm으로 하면될것같다. 
7. 에스컬레이션 정상 반영 확인 -> on을 안해놔서 on을 캠페인 하나만 해서 테스트로 계속 해보고 전체 전개 
8. 에스컬레이션 후 휴먼 바톤터치 시 오류 없는지 -> 초반에 1차 응대를하고, 지식이없거나, 예약을해야하는경우 에스컬레이션되는데 이때 휴먼이 응대할때 오류 없는지 체크.
9. CRM 내 고객마다 채널톡 링크 맵핑 cs어드민으로 수정 -> 고객마다 채널톡링크 있고, 리마인드할때 자주쓰는거로아는데, 이거를 cs admin과 맵핑시켜야하고, 
10. 방문 전 리마인드, 방문 후 만족도 조사 연결 -> 자동화 연결이 될거라 보고, (단 cs admin에서 소통한 고객만) 답변이오면 바로 cs admin에서 등록을 해야한다. 기존고객의 경우. 기존 crm예약잡힌고객이 cs admin에서 어차피 답변이 올텐데 그거를 예약등록을 일치시켜야한다. 
11. 그외 놓치는 포인트 
12 기존 db 마이그레이션 등",지현근,2026-02-19,진행중,
마이리얼트립,https://k-medi-tour.vercel.app/,"0. https://k-medi-tour.vercel.app/
1. https://humanintheloop-eta.vercel.app/
2. PDF 
3. 기타 자료",지현근,2026-02-19,진행중,"vewvew랜딩, pdf, 휴먼인더루프, 노션"
해시드,https://vibelabasafformation.vercel.app/,"0. https://hashed-landing.vercel.app/
1. https://scoutmanager.io/#
2. 메일내용
3. 스카웃매니저 구동영상
4. 리드확보고객 데이터예시",지현근,2026-02-19,진행중,
시나르마스,,시나르마스 최종 자료,지현근,2026-02-20,미완료,
겟케어코리아,https://getcarekorea.com/,"0. 구글맵 스크래퍼 -> 병원페이지 전부 구축
1. 병원페이지 내 cta 완벽 배치",지현근,2026-02-20,미완료,
더인벤션랩,,"0. 핏루트 캠페인 추가
1. 베베리아 전략 정립",지현근,2026-02-18,미완료,
APLOY,,"0. 개발 계획 문서 생성
1. 백엔드 설계
2. 프론트엔드 설계
3. ",,,미완료,
리그램&멀티채널업로드,,,,,,
